council,y2013,majority13,strength13,y2017,majority17,strength17
Isle of Wight,NOC,,Strong,NR,02:00,Strong
Dorset,Con,14,Weak,NR,03:00,Strong
Essex,Con,35,Strong,NR,03:00,Strong
Somerset,Con,17,Weak,NR,03:00,Strong
Gloucestershire,NOC,,Strong,NR,03:00,Strong
Lincolnshire,NOC,,Strong,NR,03:00,Strong
Warwickshire,NOC,,Strong,NR,03:00,Strong
Hampshire,Con,31,Strong,NR,04:00,Strong
Northumberland,NOC,,Strong,NR,04:00,Strong
Cumbria,NOC,,Strong,NR,08:00,Strong
Devon,Con,28,Strong,NR,13:00,Strong
Hertfordshire,Con,30,Strong,NR,13:00,Strong
Buckinghamshire,Con,32,Strong,NR,14:00,Strong
Cambridgeshire,NOC,,Strong,NR,14:00,Strong
East Sussex,NOC,,Strong,NR,14:00,Strong
Surrey,Con,49,Strong,NR,15:00,Strong
West Sussex,Con,33,Strong,NR,15:00,Strong
Cornwall,NOC,,Strong,NR,15:00,Strong
Oxfordshire,NOC,,Strong,NR,15:00,Strong
Suffolk,NOC,,Strong,NR,15:00,Strong
Shropshire,Con,33,Strong,NR,16:00,Strong
Wiltshire,Con,39,Strong,NR,16:00,Strong
Derbyshire,Lab,25,Strong,NR,16:00,Strong
Lancashire,NOC,,Strong,NR,16:00,Strong
Norfolk,NOC,,Strong,NR,16:00,Strong
Leicestershire,Con,17,Weak,NR,17:00,Strong
North Yorkshire,Con,31,Strong,NR,17:00,Strong
Staffordshire,Con,11,Weak,NR,17:00,Strong
Worcestershire,Con,20,Strong,NR,17:00,Strong
Nottinghamshire,Lab,11,Weak,NR,17:00,Strong
Kent,Con,33,Strong,NR,18:00,Strong
Durham,Lab,77,Strong,NR,18:00,Strong
Northamptonshire,Con,25,Strong,NR,19:00,Strong
Doncaster,Lab,32,Strong,NR,20:00,Strong
Isles of Scilly,Ind,,Strong,NR,NA,Strong
